name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url,price_str,age_of_recognition,geo_group,cuisine_group,has_url,price_numeric
Exquisine,1,2019-01-01,37.521046,127.049736,Seoul,South Korea,Unknown,Innovative,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/exquisine,3,4,North-East,Innovative,1,3.0
FAGN,1,2019-01-01,63.43392,10.39628,Trondheim,Norway,7010,Modern cuisine,4,https://guide.michelin.com/no/en/trondelag/trondheim/restaurant/fagn,4,4,North-East,Modern cuisine,1,4.0
Farmhouse Inn & Restaurant,1,2019-01-01,38.49039,-122.8835,San Francisco,California,95436,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,4,4,North-West,Californian,1,4.0
Faro,1,2019-01-01,40.707584,-73.923035,New York,New York City,11237,American,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/faro,2,4,North-West,American,1,2.0
Fat Duck,3,2019-01-01,51.50828,-0.70232,Bray,United Kingdom,SL6 2AQ,Creative,Not Specified,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/fat-duck,Not Specified,4,North-West,Creative,1,
Fäviken Magasinet,2,2019-01-01,63.43626,13.29337,Järpen,Sweden,837 94,Creative,4,https://guide.michelin.com/se/en/jamtland/jarpen/restaurant/faviken-magasinet,4,4,North-East,Creative,1,4.0
Feng Wei Ju,2,2019-01-01,22.18996,113.54794,Macau,Macau,Unknown,Hunanese and Sichuan,1,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/feng-wei-ju,1,4,North-East,Hunanese and Sichuan,1,1.0
Field,1,2019-01-01,50.0919,14.42193,Praha,Czech Republic,110 00,Modern cuisine,5,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,5,4,North-East,Modern cuisine,1,5.0
Fiola,1,2019-01-01,38.89416,-77.02032,"Washington, D.C.",Washington DC,20004,Italian,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fiola,4,4,North-West,Italian,1,4.0
Fischer's at Baslow Hall,1,2019-01-01,53.25055,-1.6269798,Baslow,United Kingdom,DE45 1RR,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/derbyshire/baslow/restaurant/fischer-s-at-baslow-hall,Not Specified,4,North-West,Modern cuisine,1,
Five Fields,1,2019-01-01,51.49168,-0.16124,Chelsea,United Kingdom,SW3 2SP,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/five-fields,Not Specified,4,North-West,Modern cuisine,1,
Fordwich Arms,1,2019-01-01,51.295284,1.1261871,Fordwich,United Kingdom,CT2 0DB,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/kent/fordwich/restaurant/fordwich-arms,Not Specified,4,North-East,Modern cuisine,1,
Forest Side,1,2019-01-01,54.46396,-3.0157998,Grasmere,United Kingdom,LA22 9RN,Modern British,Not Specified,https://guide.michelin.com/gb/en/cumbria/grasmere/restaurant/forest-side,Not Specified,4,North-West,Modern British,1,
formel B,1,2019-01-01,55.67031,12.53798,København,Denmark,1800 C,Modern cuisine,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,2,4,North-East,Modern cuisine,1,2.0
Forum,2,2019-01-01,22.281616,114.1824,Hong Kong,Hong Kong,Unknown,Cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/forum,2,4,North-East,Chinese,1,2.0
Fraiche,1,2019-01-01,53.38183,-3.04307,Birkenhead,United Kingdom,CH43 5SG,Creative,Not Specified,https://guide.michelin.com/gb/en/merseyside/birkenhead/restaurant/fraiche,Not Specified,4,North-West,Creative,1,
Frantzén,3,2019-01-01,59.33418,18.05812,Stockholm,Sweden,111 22,Modern cuisine,4,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/frantzen,4,4,North-East,Modern cuisine,1,4.0
Frederikshøj,1,2019-01-01,56.12497,10.208638,Aarhus,Denmark,8000,Creative,4,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,4,4,North-East,Creative,1,4.0
Frederiksminde,1,2019-01-01,55.12417,12.04623,Præstø,Denmark,4720,Creative,3,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,3,4,North-East,Creative,1,3.0
Fu Ho (Tsim Sha Tsui),1,2019-01-01,22.3022,114.17194,Hong Kong,Hong Kong,Unknown,Cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,2,4,North-East,Chinese,1,2.0
Gaa,1,2019-01-01,13.737806,100.54275,Bangkok,Thailand,Unknown,Innovative,4,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/gaa,4,4,North-East,Innovative,1,4.0
Gabriel Kreuther,2,2019-01-01,40.75397,-73.982025,New York,New York City,10036,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther,4,4,North-West,Contemporary,1,4.0
Gaggan,2,2019-01-01,13.737679,100.542145,Bangkok,Thailand,Unknown,Innovative,5,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/gaggan,5,4,North-East,Innovative,1,5.0
Galt,1,2019-01-01,59.91661,10.71369,Oslo,Norway,263,Modern cuisine,3,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/galt,3,4,North-East,Modern cuisine,1,3.0
Galvin at Windows,1,2019-01-01,51.50539,-0.15039,Mayfair,United Kingdom,W1K 1BE,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/galvin-at-windows,Not Specified,4,North-West,Modern cuisine,1,
Galvin La Chapelle,1,2019-01-01,51.52032,-0.0781,Spitalfields,United Kingdom,E1 6DY,French,Not Specified,https://guide.michelin.com/gb/en/greater-london/spitalfields/restaurant/galvin-la-chapelle,Not Specified,4,North-West,French,1,
Gaon,3,2019-01-01,37.52265,127.03595,Seoul,South Korea,Unknown,Korean,5,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/gaon,5,4,North-East,Korean,1,5.0
Garibaldi,1,2018-01-01,1.296564,103.855,Singapore,Singapore,Unknown,Italian,1,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/garibaldi,1,5,North-East,Italian,1,1.0
Gary Danko,1,2019-01-01,37.80599,-122.42066,San Francisco,California,94109,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,4,4,North-West,Contemporary,1,4.0
Gastrologik,2,2019-01-01,59.33365,18.0807,Stockholm,Sweden,114 51,Creative,4,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/gastrologik,4,4,North-East,Creative,1,4.0
Gastromé,1,2019-01-01,56.15788,10.20937,Aarhus,Denmark,8000,Modern cuisine,3,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,3,4,North-East,Modern cuisine,1,3.0
Geranium,3,2019-01-01,55.70393,12.57197,København,Denmark,2100 Ø,Creative,4,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/geranium,4,4,North-East,Creative,1,4.0
Gidleigh Park,1,2019-01-01,50.67658,-3.87354,Chagford,United Kingdom,TQ13 8HH,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/devon/chagford/restaurant/gidleigh-park,Not Specified,4,North-West,Modern cuisine,1,
Ginza Sushi ichi,1,2019-01-01,13.744069,100.54092,Bangkok,Thailand,Unknown,Sushi,4,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/ginza-sushi-ichi,4,4,North-East,Sushi,1,4.0
Golden Flower,2,2019-01-01,22.18753,113.54806,Macau,Macau,Unknown,Chinese,2,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/golden-flower,2,4,North-East,Chinese,1,2.0
Golden Formosa,1,2019-01-01,25.118216,121.53623,Taipei,Taipei,110,Taiwanese,2,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/golden-formosa,2,4,North-East,Taiwanese,1,2.0
Goosefoot,1,2019-01-01,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,4,4,North-West,Contemporary,1,4.0
Gordon Ramsay,3,2019-01-01,51.48546,-0.1620201,Chelsea,United Kingdom,SW3 4HP,French,Not Specified,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/gordon-ramsay,Not Specified,4,North-West,French,1,
Gotgan,1,2019-01-01,37.52212,126.92022,Seoul,South Korea,Unknown,Korean,4,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/gotgan,4,4,North-East,Korean,1,4.0
Gotham Bar and Grill,1,2019-01-01,40.73417,-73.99379,New York,New York City,10003,American,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gotham-bar-and-grill,4,4,North-West,American,1,4.0
Gramercy Tavern,1,2019-01-01,40.73849,-73.98868,New York,New York City,10003,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gramercy-tavern,4,4,North-West,Contemporary,1,4.0
Gravetye Manor,1,2019-01-01,51.08932,-0.05691,Gravetye,United Kingdom,RH19 4LJ,Modern British,Not Specified,https://guide.michelin.com/gb/en/west-sussex/gravetye/restaurant/gravetye-manor,Not Specified,4,North-West,Modern British,1,
Greenhouse,1,2019-01-01,53.340042,-6.258506,City Centre,Ireland,D2,Modern cuisine,Not Specified,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/greenhouse,Not Specified,4,North-West,Modern cuisine,1,
Greenhouse,2,2019-01-01,51.50769,-0.14926,Mayfair,United Kingdom,W1J 5NY,Creative,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/greenhouse69393,Not Specified,4,North-West,Creative,1,
Grön,1,2019-01-01,60.16446,24.93308,Helsingfors / Helsinki,Finland,180,Finnish,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,3,4,North-East,Finnish,1,3.0
Guo Fu Lou,1,2019-01-01,22.278313,114.16034,Hong Kong,Hong Kong,Unknown,Cantonese,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/guo-fu-lou567828,3,4,North-East,Chinese,1,3.0
Gymkhana,1,2019-01-01,51.50854,-0.14154,Mayfair,United Kingdom,W1S 4JH,Indian,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/gymkhana,Not Specified,4,North-West,Indian,1,
Hakkasan Hanway Place,1,2019-01-01,51.5171,-0.13144,Bloomsbury,United Kingdom,W1T 1HD,Chinese,Not Specified,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/hakkasan-hanway-place,Not Specified,4,North-West,Chinese,1,
Hakkasan Mayfair,1,2019-01-01,51.51037,-0.14475,Mayfair,United Kingdom,W1J 6QB,Chinese,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/hakkasan-mayfair,Not Specified,4,North-West,Chinese,1,
Hambleton Hall,1,2019-01-01,52.65737,-0.66812,Upper Hambleton,United Kingdom,LE15 8TH,Classic cuisine,Not Specified,https://guide.michelin.com/gb/en/rutland/upper-hambleton/restaurant/hambleton-hall,Not Specified,4,North-West,Classic cuisine,1,
Hana re,1,2019-01-01,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,4,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,4,4,North-West,Japanese,1,4.0
