Date,Close,Volume
2013-01-02,19.608213,560518000
2013-01-03,19.360714,352965200
2013-01-04,18.821428,594333600
2013-01-07,18.710714,484156400
2013-01-08,18.761070,458707200
2013-01-09,18.467857,407604400
2013-01-10,18.696787,601146000
2013-01-11,18.582144,350506800
2013-01-14,17.919643,734207600
2013-01-15,17.354286,876772400
2013-01-16,18.074642,690804800
2013-01-17,17.952856,453678400
2013-01-18,17.857143,472922800
2013-01-22,18.027500,461546400
2013-01-23,18.357500,861509600
2013-01-24,16.089287,1460852400
2013-01-25,15.710000,1208026400
2013-01-28,16.065357,785517600
2013-01-29,16.366785,571158000
2013-01-30,16.315357,417155200
2013-01-31,16.267500,319334400
2013-02-01,16.200714,539484400
2013-02-04,15.797143,477117200
2013-02-05,16.351429,573347600
2013-02-06,16.333929,593706400
2013-02-07,16.722143,704580800
2013-02-08,16.963572,633158400
2013-02-11,17.140356,517490400
2013-02-12,16.710714,609053200
2013-02-13,16.678928,475207600
2013-02-14,16.663929,355275200
2013-02-15,16.434286,391745200
2013-02-19,16.428213,435783600
2013-02-20,16.030357,476302400
2013-02-21,15.930714,447182400
2013-02-22,16.100357,330654800
2013-02-25,15.814286,372579200
2013-02-26,16.034643,501499600
2013-02-27,15.877500,587350400
2013-02-28,15.764286,322515200
2013-03-01,15.373929,552448400
2013-03-04,15.001786,582755600
2013-03-05,15.397857,638433600
2013-03-06,15.202143,460250000
2013-03-07,15.377857,468473600
2013-03-08,15.418571,391482000
2013-03-11,15.638214,474236000
2013-03-12,15.301071,465911600
2013-03-13,15.298214,405549200
2013-03-14,15.446429,303875600
2013-03-15,15.845000,643960800
2013-03-18,16.275715,606197200
2013-03-19,16.231787,526775200
2013-03-20,16.145714,308660800
2013-03-21,16.168928,383255600
2013-03-22,16.496786,395105200
2013-03-25,16.556429,501135600
2013-03-26,16.469286,294294000
2013-03-27,16.145714,331237200
2013-03-28,15.809286,442839600
2013-04-01,15.318214,389732000
2013-04-02,15.349643,529519200
2013-04-03,15.428214,363216000
2013-04-04,15.275714,358447600
2013-04-05,15.114286,383695200
2013-04-08,15.221786,300829200
2013-04-09,15.249286,306614000
2013-04-10,15.560357,375928000
2013-04-11,15.511786,328364400
2013-04-12,15.350000,238613200
2013-04-15,14.994643,317520000
2013-04-16,15.222857,305771200
2013-04-17,14.385714,945056000
2013-04-18,14.001786,666299200
2013-04-19,13.947500,609274400
2013-04-22,14.238214,429920400
2013-04-23,14.504643,664238400
2013-04-24,14.480714,969651200
2013-04-25,14.585000,384837600
2013-04-26,14.900000,764097600
2013-04-29,15.361429,640326400
2013-04-30,15.813571,691538400
2013-05-01,15.688929,506909200
2013-05-02,15.911429,421828400
2013-05-03,16.070715,361300800
2013-05-06,16.453930,496641600
2013-05-07,16.380714,483753200
2013-05-08,16.565714,472598000
2013-05-09,16.313213,398487600
2013-05-10,16.177500,334852000
2013-05-13,16.240713,316948800
2013-05-14,15.852143,447118000
2013-05-15,15.316071,741613600
2013-05-16,15.520714,603204000
2013-05-17,15.473571,427904400
2013-05-20,15.818929,451578400
2013-05-21,15.702143,456022000
2013-05-22,15.762500,443038400
2013-05-23,15.790714,353021200
2013-05-24,15.898214,276166800
2013-05-28,15.765714,386145200
2013-05-29,15.891071,330576400
2013-05-30,16.127857,353519600
2013-05-31,16.061787,384302800
2013-06-03,16.097143,372352400
2013-06-04,16.046785,292728800
2013-06-05,15.896786,290589600
2013-06-06,15.659286,416934000
2013-06-07,15.778929,404535600
2013-06-10,15.674643,450153200
2013-06-11,15.628571,286112400
2013-06-12,15.435357,265227200
2013-06-13,15.570000,285832400
2013-06-14,15.358929,271866000
2013-06-17,15.428571,259414400
2013-06-18,15.420357,195025600
2013-06-19,15.107143,310940000
2013-06-20,14.887143,357310800
2013-06-21,14.767857,481118400
2013-06-24,14.376429,480746000
2013-06-25,14.379643,314162800
2013-06-26,14.216786,367724000
2013-06-27,14.063571,337246000
2013-06-28,14.161786,578516400
2013-07-01,14.615000,391053600
2013-07-02,14.946071,469865200
2013-07-03,15.028571,240928800
2013-07-05,14.907857,274024800
2013-07-08,14.823214,298138400
2013-07-09,15.083929,352584400
2013-07-10,15.026071,281405600
2013-07-11,15.260357,326292400
2013-07-12,15.232500,279563200
2013-07-15,15.265714,241917200
2013-07-16,15.364286,216538000
2013-07-17,15.368214,198990400
2013-07-18,15.420000,218878800
2013-07-19,15.176786,268721600
2013-07-22,15.225357,207796400
2013-07-23,14.963929,369395600
2013-07-24,15.732500,591936800
2013-07-25,15.660714,229493600
2013-07-26,15.749643,200152400
2013-07-29,15.992500,248057600
2013-07-30,16.190001,309422400
2013-07-31,16.161785,322957600
2013-08-01,16.309999,206250800
2013-08-02,16.519285,274783600
2013-08-05,16.766071,318855600
2013-08-06,16.616072,334857600
